instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_ratio,registered_ratio
195,2011-07-14,3,0,7,0,4,1,Clear,0.680833,0.635104,0.47625,0.240667,888,4196,5084,0.17466561762391816,0.8253343823760818
196,2011-07-15,3,0,7,0,5,1,Clear,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,0.23799205489346334,0.7620079451065367
197,2011-07-16,3,0,7,0,6,0,Clear,0.686667,0.638263,0.585,0.208342,2418,3505,5923,0.40823906803984467,0.5917609319601553
198,2011-07-17,3,0,7,0,0,0,Clear,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,0.3783477932855526,0.6216522067144474
199,2011-07-18,3,0,7,0,1,1,Clear,0.746667,0.703925,0.65125,0.215804,841,3617,4458,0.1886496186630776,0.8113503813369224
200,2011-07-19,3,0,7,0,2,1,Clear,0.776667,0.747479,0.650417,0.1306,752,3789,4541,0.16560229024443954,0.8343977097555605
201,2011-07-20,3,0,7,0,3,1,Clear,0.768333,0.74685,0.707083,0.113817,644,3688,4332,0.14866112650046168,0.8513388734995383
202,2011-07-21,3,0,7,0,4,1,Cloudy,0.815,0.826371,0.69125,0.222021,632,3152,3784,0.16701902748414377,0.8329809725158562
203,2011-07-22,3,0,7,0,5,1,Clear,0.848333,0.840896,0.580417,0.1331,562,2825,3387,0.16592855033953352,0.8340714496604665
204,2011-07-23,3,0,7,0,6,0,Clear,0.849167,0.804287,0.5,0.131221,987,2298,3285,0.3004566210045662,0.6995433789954338
205,2011-07-24,3,0,7,0,0,0,Clear,0.83,0.794829,0.550833,0.169171,1050,2556,3606,0.2911813643926789,0.7088186356073212
206,2011-07-25,3,0,7,0,1,1,Clear,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,0.14791666666666667,0.8520833333333333
207,2011-07-26,3,0,7,0,2,1,Clear,0.771667,0.696979,0.540833,0.200258,750,3840,4590,0.16339869281045752,0.8366013071895425
208,2011-07-27,3,0,7,0,3,1,Clear,0.775,0.690667,0.402917,0.183463,755,3901,4656,0.16215635738831616,0.8378436426116839
209,2011-07-28,3,0,7,0,4,1,Clear,0.779167,0.7399,0.583333,0.178479,606,3784,4390,0.13804100227790433,0.8619589977220957
210,2011-07-29,3,0,7,0,5,1,Clear,0.838333,0.785967,0.5425,0.174138,670,3176,3846,0.17420696827873114,0.8257930317212688
211,2011-07-30,3,0,7,0,6,0,Clear,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,0.3483798882681564,0.6516201117318435
212,2011-07-31,3,0,7,0,0,0,Clear,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,0.3542538354253835,0.6457461645746164
213,2011-08-01,3,0,8,0,1,1,Clear,0.771667,0.703292,0.550833,0.156717,729,3537,4266,0.17088607594936708,0.8291139240506329
214,2011-08-02,3,0,8,0,2,1,Clear,0.783333,0.707071,0.49125,0.20585,801,4044,4845,0.1653250773993808,0.8346749226006192
215,2011-08-03,3,0,8,0,3,1,Cloudy,0.731667,0.679937,0.6575,0.135583,467,3107,3574,0.1306659205372132,0.8693340794627868
216,2011-08-04,3,0,8,0,4,1,Cloudy,0.71,0.664788,0.7575,0.19715,799,3777,4576,0.17460664335664336,0.8253933566433567
217,2011-08-05,3,0,8,0,5,1,Clear,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,0.21023427866831074,0.7897657213316893
218,2011-08-06,3,0,8,0,6,0,Cloudy,0.716667,0.676154,0.755,0.22825,1521,2773,4294,0.35421518397764323,0.6457848160223568
219,2011-08-07,3,0,8,0,0,0,Clear,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,0.3429326287978864,0.6570673712021136
220,2011-08-08,3,0,8,0,1,1,Clear,0.765,0.703283,0.592083,0.192175,846,3480,4326,0.1955617198335645,0.8044382801664355
221,2011-08-09,3,0,8,0,2,1,Clear,0.775,0.724121,0.570417,0.151121,907,3695,4602,0.19708822251195132,0.8029117774880487
222,2011-08-10,3,0,8,0,3,1,Clear,0.766667,0.684983,0.424167,0.200258,884,3896,4780,0.18493723849372384,0.8150627615062761
223,2011-08-11,3,0,8,0,4,1,Clear,0.7175,0.651521,0.42375,0.164796,812,3980,4792,0.169449081803005,0.830550918196995
224,2011-08-12,3,0,8,0,5,1,Clear,0.708333,0.654042,0.415,0.125621,1051,3854,4905,0.2142711518858308,0.7857288481141692
225,2011-08-13,3,0,8,0,6,0,Cloudy,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,0.3624096385542169,0.6375903614457832
226,2011-08-14,3,0,8,0,0,0,Cloudy,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,0.35026178010471204,0.6497382198952879
227,2011-08-15,3,0,8,0,1,1,Clear,0.665833,0.616167,0.712083,0.208954,775,3563,4338,0.17865375749193177,0.8213462425080682
228,2011-08-16,3,0,8,0,2,1,Clear,0.700833,0.645837,0.578333,0.236329,721,4004,4725,0.15259259259259259,0.8474074074074074
229,2011-08-17,3,0,8,0,3,1,Clear,0.723333,0.666671,0.575417,0.143667,668,4026,4694,0.14230933106092886,0.8576906689390712
230,2011-08-18,3,0,8,0,4,1,Clear,0.711667,0.662258,0.654583,0.233208,639,3166,3805,0.16793692509855454,0.8320630749014455
231,2011-08-19,3,0,8,0,5,1,Cloudy,0.685,0.633221,0.722917,0.139308,797,3356,4153,0.19190946303876716,0.8080905369612329
232,2011-08-20,3,0,8,0,6,0,Clear,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,0.3687150837988827,0.6312849162011173
233,2011-08-21,3,0,8,0,0,0,Clear,0.710833,0.675525,0.77,0.248754,1249,2624,3873,0.3224890265943713,0.6775109734056287
234,2011-08-22,3,0,8,0,1,1,Clear,0.691667,0.638254,0.47,0.27675,833,3925,4758,0.17507356031946195,0.824926439680538
235,2011-08-23,3,0,8,0,2,1,Clear,0.640833,0.606067,0.455417,0.146763,1281,4614,5895,0.2173027989821883,0.7826972010178117
236,2011-08-24,3,0,8,0,3,1,Clear,0.673333,0.630692,0.605,0.253108,949,4181,5130,0.18499025341130604,0.815009746588694
237,2011-08-25,3,0,8,0,4,1,Cloudy,0.684167,0.645854,0.771667,0.210833,435,3107,3542,0.1228119706380576,0.8771880293619424
238,2011-08-26,3,0,8,0,5,1,Clear,0.7,0.659733,0.76125,0.0839625,768,3893,4661,0.16477150826003004,0.8352284917399699
239,2011-08-27,3,0,8,0,6,0,Cloudy,0.68,0.635556,0.85,0.375617,226,889,1115,0.20269058295964126,0.7973094170403587
240,2011-08-28,3,0,8,0,0,0,Clear,0.707059,0.647959,0.561765,0.304659,1415,2919,4334,0.32648823257960313,0.6735117674203969
241,2011-08-29,3,0,8,0,1,1,Clear,0.636667,0.607958,0.554583,0.159825,729,3905,4634,0.15731549417350021,0.8426845058264998
242,2011-08-30,3,0,8,0,2,1,Clear,0.639167,0.594704,0.548333,0.125008,775,4429,5204,0.148923904688701,0.851076095311299
243,2011-08-31,3,0,8,0,3,1,Clear,0.656667,0.611121,0.597917,0.0833333,688,4370,5058,0.13602214313958086,0.8639778568604192
244,2011-09-01,3,0,9,0,4,1,Clear,0.655,0.614921,0.639167,0.141796,783,4332,5115,0.1530791788856305,0.8469208211143695
245,2011-09-02,3,0,9,0,5,1,Cloudy,0.643333,0.604808,0.727083,0.139929,875,3852,4727,0.18510683308652423,0.8148931669134758
246,2011-09-03,3,0,9,0,6,0,Clear,0.669167,0.633213,0.716667,0.185325,1935,2549,4484,0.4315343443354148,0.5684656556645852
247,2011-09-04,3,0,9,0,0,0,Clear,0.709167,0.665429,0.742083,0.206467,2521,2419,4940,0.5103238866396761,0.4896761133603239
248,2011-09-05,3,0,9,1,1,0,Cloudy,0.673333,0.625646,0.790417,0.212696,1236,2115,3351,0.36884512085944493,0.631154879140555
249,2011-09-06,3,0,9,0,2,1,Drizzling,0.54,0.5152,0.886957,0.343943,204,2506,2710,0.07527675276752767,0.9247232472324723
250,2011-09-07,3,0,9,0,3,1,Drizzling,0.599167,0.544229,0.917083,0.0970208,118,1878,1996,0.05911823647294589,0.9408817635270541
251,2011-09-08,3,0,9,0,4,1,Drizzling,0.633913,0.555361,0.939565,0.192748,153,1689,1842,0.08306188925081433,0.9169381107491856
252,2011-09-09,3,0,9,0,5,1,Cloudy,0.65,0.578946,0.897917,0.124379,417,3127,3544,0.11766365688487584,0.8823363431151241
253,2011-09-10,3,0,9,0,6,0,Clear,0.66,0.607962,0.75375,0.153608,1750,3595,5345,0.3274087932647334,0.6725912067352666
254,2011-09-11,3,0,9,0,0,0,Clear,0.653333,0.609229,0.71375,0.115054,1633,3413,5046,0.32362267142290924,0.6763773285770908
255,2011-09-12,3,0,9,0,1,1,Clear,0.644348,0.60213,0.692174,0.088913,690,4023,4713,0.1464035646085296,0.8535964353914705
256,2011-09-13,3,0,9,0,2,1,Clear,0.650833,0.603554,0.7125,0.141804,701,4062,4763,0.1471761494856183,0.8528238505143817
257,2011-09-14,3,0,9,0,3,1,Clear,0.673333,0.6269,0.697083,0.1673,647,4138,4785,0.13521421107628004,0.8647857889237199
258,2011-09-15,3,0,9,0,4,1,Cloudy,0.5775,0.553671,0.709167,0.271146,428,3231,3659,0.11697185023230391,0.8830281497676961
259,2011-09-16,3,0,9,0,5,1,Cloudy,0.469167,0.461475,0.590417,0.164183,742,4018,4760,0.15588235294117647,0.8441176470588235
260,2011-09-17,3,0,9,0,6,0,Cloudy,0.491667,0.478512,0.718333,0.189675,1434,3077,4511,0.31788960319219683,0.6821103968078032
261,2011-09-18,3,0,9,0,0,0,Clear,0.5075,0.490537,0.695,0.178483,1353,2921,4274,0.3165652784277024,0.6834347215722976
262,2011-09-19,3,0,9,0,1,1,Cloudy,0.549167,0.529675,0.69,0.151742,691,3848,4539,0.152236175369024,0.847763824630976
263,2011-09-20,3,0,9,0,2,1,Cloudy,0.561667,0.532217,0.88125,0.134954,438,3203,3641,0.12029662180719583,0.8797033781928042
264,2011-09-21,3,0,9,0,3,1,Cloudy,0.595,0.550533,0.9,0.0964042,539,3813,4352,0.12385110294117647,0.8761488970588235
265,2011-09-22,3,0,9,0,4,1,Cloudy,0.628333,0.554963,0.902083,0.128125,555,4240,4795,0.11574556830031282,0.8842544316996872
266,2011-09-23,4,0,9,0,5,1,Cloudy,0.609167,0.522125,0.9725,0.0783667,258,2137,2395,0.10772442588726514,0.8922755741127348
267,2011-09-24,4,0,9,0,6,0,Cloudy,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423,0.3274940070071916,0.6725059929928084
268,2011-09-25,4,0,9,0,0,0,Cloudy,0.634167,0.572637,0.845,0.0503792,1544,3466,5010,0.3081836327345309,0.691816367265469
269,2011-09-26,4,0,9,0,1,1,Cloudy,0.649167,0.589042,0.848333,0.1107,684,3946,4630,0.14773218142548597,0.8522678185745141
270,2011-09-27,4,0,9,0,2,1,Cloudy,0.636667,0.574525,0.885417,0.118171,477,3643,4120,0.11577669902912621,0.8842233009708738
271,2011-09-28,4,0,9,0,3,1,Cloudy,0.635,0.575158,0.84875,0.148629,480,3427,3907,0.12285641156897875,0.8771435884310212
272,2011-09-29,4,0,9,0,4,1,Clear,0.616667,0.574512,0.699167,0.172883,653,4186,4839,0.13494523661913618,0.8650547633808638
273,2011-09-30,4,0,9,0,5,1,Clear,0.564167,0.544829,0.6475,0.206475,830,4372,5202,0.15955401768550556,0.8404459823144944
274,2011-10-01,4,0,10,0,6,0,Cloudy,0.41,0.412863,0.75375,0.292296,480,1949,2429,0.19761218608480857,0.8023878139151914
275,2011-10-02,4,0,10,0,0,0,Cloudy,0.356667,0.345317,0.791667,0.222013,616,2302,2918,0.21110349554489377,0.7888965044551063
276,2011-10-03,4,0,10,0,1,1,Cloudy,0.384167,0.392046,0.760833,0.0833458,330,3240,3570,0.09243697478991597,0.907563025210084
277,2011-10-04,4,0,10,0,2,1,Clear,0.484167,0.472858,0.71,0.205854,486,3970,4456,0.10906642728904847,0.8909335727109515
278,2011-10-05,4,0,10,0,3,1,Clear,0.538333,0.527138,0.647917,0.17725,559,4267,4826,0.11583091587235807,0.884169084127642
279,2011-10-06,4,0,10,0,4,1,Clear,0.494167,0.480425,0.620833,0.134954,639,4126,4765,0.134102833158447,0.865897166841553
280,2011-10-07,4,0,10,0,5,1,Clear,0.510833,0.504404,0.684167,0.0223917,949,4036,4985,0.19037111334002005,0.8096288866599799
281,2011-10-08,4,0,10,0,6,0,Clear,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409,0.41320022185246813,0.5867997781475319
282,2011-10-09,4,0,10,0,0,0,Clear,0.540833,0.523983,0.7275,0.06345,2397,3114,5511,0.4349482852476865,0.5650517147523135
283,2011-10-10,4,0,10,1,1,0,Clear,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117,0.2958764901309361,0.7041235098690639
284,2011-10-11,4,0,10,0,2,1,Cloudy,0.566667,0.546096,0.80875,0.143042,667,3896,4563,0.14617576156037695,0.8538242384396231
285,2011-10-12,4,0,10,0,3,1,Drizzling,0.543333,0.517717,0.90625,0.24815,217,2199,2416,0.08981788079470199,0.910182119205298
286,2011-10-13,4,0,10,0,4,1,Cloudy,0.589167,0.551804,0.896667,0.141787,290,2623,2913,0.09955372468245795,0.9004462753175421
287,2011-10-14,4,0,10,0,5,1,Cloudy,0.550833,0.529675,0.71625,0.223883,529,3115,3644,0.1451701427003293,0.8548298572996706
288,2011-10-15,4,0,10,0,6,0,Clear,0.506667,0.498725,0.483333,0.258083,1899,3318,5217,0.36400230017251295,0.6359976998274871
289,2011-10-16,4,0,10,0,0,0,Clear,0.511667,0.503154,0.486667,0.281717,1748,3293,5041,0.3467565959135092,0.6532434040864907
290,2011-10-17,4,0,10,0,1,1,Clear,0.534167,0.510725,0.579583,0.175379,713,3857,4570,0.1560175054704595,0.8439824945295404
291,2011-10-18,4,0,10,0,2,1,Cloudy,0.5325,0.522721,0.701667,0.110087,637,4111,4748,0.13416175231676494,0.865838247683235
292,2011-10-19,4,0,10,0,3,1,Drizzling,0.541739,0.513848,0.895217,0.243339,254,2170,2424,0.10478547854785479,0.8952145214521452
293,2011-10-20,4,0,10,0,4,1,Clear,0.475833,0.466525,0.63625,0.422275,471,3724,4195,0.11227651966626936,0.8877234803337306
294,2011-10-21,4,0,10,0,5,1,Clear,0.4275,0.423596,0.574167,0.221396,676,3628,4304,0.1570631970260223,0.8429368029739777
295,2011-10-22,4,0,10,0,6,0,Clear,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308,0.3479572887650882,0.6520427112349118
296,2011-10-23,4,0,10,0,0,0,Clear,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381,0.36955033097466333,0.6304496690253367
297,2011-10-24,4,0,10,0,1,1,Clear,0.463333,0.457067,0.772083,0.118792,699,3488,4187,0.16694530690231668,0.8330546930976833
298,2011-10-25,4,0,10,0,2,1,Clear,0.471667,0.463375,0.622917,0.166658,695,3992,4687,0.14828248346490291,0.8517175165350971
299,2011-10-26,4,0,10,0,3,1,Cloudy,0.484167,0.472846,0.720417,0.148642,404,3490,3894,0.10374935798664613,0.8962506420133539
300,2011-10-27,4,0,10,0,4,1,Cloudy,0.47,0.457046,0.812917,0.197763,240,2419,2659,0.09025949605114705,0.909740503948853
301,2011-10-28,4,0,10,0,5,1,Cloudy,0.330833,0.318812,0.585833,0.229479,456,3291,3747,0.12169735788630905,0.8783026421136909
302,2011-10-29,4,0,10,0,6,0,Drizzling,0.254167,0.227913,0.8825,0.351371,57,570,627,0.09090909090909091,0.9090909090909091
303,2011-10-30,4,0,10,0,0,0,Clear,0.319167,0.321329,0.62375,0.176617,885,2446,3331,0.26568598018613027,0.7343140198138697
304,2011-10-31,4,0,10,0,1,1,Clear,0.34,0.356063,0.703333,0.10635,362,3307,3669,0.09866448623603162,0.9013355137639684
305,2011-11-01,4,0,11,0,2,1,Clear,0.400833,0.397088,0.68375,0.135571,410,3658,4068,0.1007866273352999,0.8992133726647001
306,2011-11-02,4,0,11,0,3,1,Clear,0.3775,0.390133,0.71875,0.0820917,370,3816,4186,0.08838987099856666,0.9116101290014333
307,2011-11-03,4,0,11,0,4,1,Clear,0.408333,0.405921,0.702083,0.136817,318,3656,3974,0.08002013085052843,0.9199798691494716
308,2011-11-04,4,0,11,0,5,1,Cloudy,0.403333,0.403392,0.6225,0.271779,470,3576,4046,0.11616411270390509,0.8838358872960949
309,2011-11-05,4,0,11,0,6,0,Clear,0.326667,0.323854,0.519167,0.189062,1156,2770,3926,0.2944472745797249,0.7055527254202751
310,2011-11-06,4,0,11,0,0,0,Clear,0.348333,0.362358,0.734583,0.0920542,952,2697,3649,0.2608933954508084,0.7391066045491915
311,2011-11-07,4,0,11,0,1,1,Clear,0.395,0.400871,0.75875,0.057225,373,3662,4035,0.09244114002478315,0.9075588599752169
312,2011-11-08,4,0,11,0,2,1,Clear,0.408333,0.412246,0.721667,0.0690375,376,3829,4205,0.08941736028537456,0.9105826397146255
313,2011-11-09,4,0,11,0,3,1,Clear,0.4,0.409079,0.758333,0.0621958,305,3804,4109,0.07422730591384766,0.9257726940861524
314,2011-11-10,4,0,11,0,4,1,Cloudy,0.38,0.373721,0.813333,0.189067,190,2743,2933,0.0647800886464371,0.9352199113535629
315,2011-11-11,4,0,11,1,5,0,Clear,0.324167,0.306817,0.44625,0.314675,440,2928,3368,0.13064133016627077,0.8693586698337292
316,2011-11-12,4,0,11,0,6,0,Clear,0.356667,0.357942,0.552917,0.212062,1275,2792,4067,0.31349889353331695,0.686501106466683
317,2011-11-13,4,0,11,0,0,0,Clear,0.440833,0.43055,0.458333,0.281721,1004,2713,3717,0.2701103040086091,0.7298896959913909
318,2011-11-14,4,0,11,0,1,1,Clear,0.53,0.524612,0.587083,0.306596,595,3891,4486,0.1326348640213999,0.8673651359786001
319,2011-11-15,4,0,11,0,2,1,Cloudy,0.53,0.507579,0.68875,0.199633,449,3746,4195,0.10703218116805721,0.8929678188319428
320,2011-11-16,4,0,11,0,3,1,Drizzling,0.456667,0.451988,0.93,0.136829,145,1672,1817,0.07980187121629059,0.9201981287837094
321,2011-11-17,4,0,11,0,4,1,Cloudy,0.341667,0.323221,0.575833,0.305362,139,2914,3053,0.04552898788077301,0.954471012119227
322,2011-11-18,4,0,11,0,5,1,Clear,0.274167,0.272721,0.41,0.168533,245,3147,3392,0.07222877358490566,0.9277712264150944
323,2011-11-19,4,0,11,0,6,0,Clear,0.329167,0.324483,0.502083,0.224496,943,2720,3663,0.25743925743925744,0.7425607425607426
324,2011-11-20,4,0,11,0,0,0,Cloudy,0.463333,0.457058,0.684583,0.18595,787,2733,3520,0.22357954545454545,0.7764204545454545
325,2011-11-21,4,0,11,0,1,1,Drizzling,0.4475,0.445062,0.91,0.138054,220,2545,2765,0.07956600361663653,0.9204339963833634
326,2011-11-22,4,0,11,0,2,1,Drizzling,0.416667,0.421696,0.9625,0.118792,69,1538,1607,0.042937149968886125,0.9570628500311139
327,2011-11-23,4,0,11,0,3,1,Cloudy,0.440833,0.430537,0.757917,0.335825,112,2454,2566,0.043647700701480906,0.9563522992985191
328,2011-11-24,4,0,11,1,4,0,Clear,0.373333,0.372471,0.549167,0.167304,560,935,1495,0.3745819397993311,0.6254180602006689
329,2011-11-25,4,0,11,0,5,1,Clear,0.375,0.380671,0.64375,0.0988958,1095,1697,2792,0.3921919770773639,0.6078080229226361
330,2011-11-26,4,0,11,0,6,0,Clear,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068,0.4071056062581486,0.5928943937418514
331,2011-11-27,4,0,11,0,0,0,Clear,0.459167,0.4558,0.698333,0.208954,810,2261,3071,0.2637577336372517,0.7362422663627483
332,2011-11-28,4,0,11,0,1,1,Clear,0.503478,0.490122,0.743043,0.142122,253,3614,3867,0.06542539436255496,0.9345746056374451
333,2011-11-29,4,0,11,0,2,1,Cloudy,0.458333,0.451375,0.830833,0.258092,96,2818,2914,0.032944406314344546,0.9670555936856554
334,2011-11-30,4,0,11,0,3,1,Clear,0.325,0.311221,0.613333,0.271158,188,3425,3613,0.05203432050927207,0.947965679490728
335,2011-12-01,4,0,12,0,4,1,Clear,0.3125,0.305554,0.524583,0.220158,182,3545,3727,0.04883284142742152,0.9511671585725785
336,2011-12-02,4,0,12,0,5,1,Clear,0.314167,0.331433,0.625833,0.100754,268,3672,3940,0.06802030456852792,0.9319796954314721
337,2011-12-03,4,0,12,0,6,0,Clear,0.299167,0.310604,0.612917,0.0957833,706,2908,3614,0.1953514111787493,0.8046485888212507
338,2011-12-04,4,0,12,0,0,0,Clear,0.330833,0.3491,0.775833,0.0839583,634,2851,3485,0.181922525107604,0.818077474892396
339,2011-12-05,4,0,12,0,1,1,Cloudy,0.385833,0.393925,0.827083,0.0622083,233,3578,3811,0.06113880871162425,0.9388611912883758
340,2011-12-06,4,0,12,0,2,1,Drizzling,0.4625,0.4564,0.949583,0.232583,126,2468,2594,0.04857363145720894,0.9514263685427911
341,2011-12-07,4,0,12,0,3,1,Drizzling,0.41,0.400246,0.970417,0.266175,50,655,705,0.07092198581560284,0.9290780141843972
342,2011-12-08,4,0,12,0,4,1,Clear,0.265833,0.256938,0.58,0.240058,150,3172,3322,0.04515352197471403,0.954846478025286
343,2011-12-09,4,0,12,0,5,1,Clear,0.290833,0.317542,0.695833,0.0827167,261,3359,3620,0.07209944751381216,0.9279005524861879
344,2011-12-10,4,0,12,0,6,0,Clear,0.275,0.266412,0.5075,0.233221,502,2688,3190,0.1573667711598746,0.8426332288401254
345,2011-12-11,4,0,12,0,0,0,Clear,0.220833,0.253154,0.49,0.0665417,377,2366,2743,0.13744075829383887,0.8625592417061612
346,2011-12-12,4,0,12,0,1,1,Clear,0.238333,0.270196,0.670833,0.06345,143,3167,3310,0.043202416918429,0.956797583081571
347,2011-12-13,4,0,12,0,2,1,Clear,0.2825,0.301138,0.59,0.14055,155,3368,3523,0.043996593812091964,0.956003406187908
348,2011-12-14,4,0,12,0,3,1,Cloudy,0.3175,0.338362,0.66375,0.0609583,178,3562,3740,0.04759358288770053,0.9524064171122995
349,2011-12-15,4,0,12,0,4,1,Cloudy,0.4225,0.412237,0.634167,0.268042,181,3528,3709,0.048800215691561066,0.9511997843084389
350,2011-12-16,4,0,12,0,5,1,Cloudy,0.375,0.359825,0.500417,0.260575,178,3399,3577,0.04976237070170534,0.9502376292982947
351,2011-12-17,4,0,12,0,6,0,Cloudy,0.258333,0.249371,0.560833,0.243167,275,2464,2739,0.10040160642570281,0.8995983935742972
352,2011-12-18,4,0,12,0,0,0,Clear,0.238333,0.245579,0.58625,0.169779,220,2211,2431,0.09049773755656108,0.9095022624434389
353,2011-12-19,4,0,12,0,1,1,Clear,0.276667,0.280933,0.6375,0.172896,260,3143,3403,0.07640317367029092,0.9235968263297091
354,2011-12-20,4,0,12,0,2,1,Cloudy,0.385833,0.396454,0.595417,0.0615708,216,3534,3750,0.0576,0.9424
355,2011-12-21,1,0,12,0,3,1,Cloudy,0.428333,0.428017,0.858333,0.2214,107,2553,2660,0.040225563909774435,0.9597744360902256
356,2011-12-22,1,0,12,0,4,1,Cloudy,0.423333,0.426121,0.7575,0.047275,227,2841,3068,0.07398956975228162,0.9260104302477183
357,2011-12-23,1,0,12,0,5,1,Clear,0.373333,0.377513,0.68625,0.274246,163,2046,2209,0.07378904481665913,0.9262109551833408
358,2011-12-24,1,0,12,0,6,0,Clear,0.3025,0.299242,0.5425,0.190304,155,856,1011,0.1533135509396637,0.8466864490603363
359,2011-12-25,1,0,12,0,0,0,Clear,0.274783,0.279961,0.681304,0.155091,303,451,754,0.40185676392572944,0.5981432360742706
360,2011-12-26,1,0,12,1,1,0,Clear,0.321739,0.315535,0.506957,0.239465,430,887,1317,0.32649962034927865,0.6735003796507213
361,2011-12-27,1,0,12,0,2,1,Cloudy,0.325,0.327633,0.7625,0.18845,103,1059,1162,0.08864027538726334,0.9113597246127366
362,2011-12-28,1,0,12,0,3,1,Clear,0.29913,0.279974,0.503913,0.293961,255,2047,2302,0.1107732406602954,0.8892267593397046
363,2011-12-29,1,0,12,0,4,1,Clear,0.248333,0.263892,0.574167,0.119412,254,2169,2423,0.10482872472141973,0.8951712752785803
364,2011-12-30,1,0,12,0,5,1,Clear,0.311667,0.318812,0.636667,0.134337,491,2508,2999,0.16372124041347116,0.8362787595865289
365,2011-12-31,1,0,12,0,6,0,Clear,0.41,0.414121,0.615833,0.220154,665,1820,2485,0.2676056338028169,0.7323943661971831
366,2012-01-01,1,1,1,0,0,0,Clear,0.37,0.375621,0.6925,0.192167,686,1608,2294,0.2990409764603313,0.7009590235396687
367,2012-01-02,1,1,1,1,1,0,Clear,0.273043,0.252304,0.381304,0.329665,244,1707,1951,0.12506406970784215,0.8749359302921579
368,2012-01-03,1,1,1,0,2,1,Clear,0.15,0.126275,0.44125,0.365671,89,2147,2236,0.03980322003577817,0.9601967799642218
369,2012-01-04,1,1,1,0,3,1,Cloudy,0.1075,0.119337,0.414583,0.1847,95,2273,2368,0.04011824324324324,0.9598817567567568
370,2012-01-05,1,1,1,0,4,1,Clear,0.265833,0.278412,0.524167,0.129987,140,3132,3272,0.042787286063569685,0.9572127139364304
371,2012-01-06,1,1,1,0,5,1,Clear,0.334167,0.340267,0.542083,0.167908,307,3791,4098,0.0749145924841386,0.9250854075158614
372,2012-01-07,1,1,1,0,6,0,Clear,0.393333,0.390779,0.531667,0.174758,1070,3451,4521,0.23667330236673303,0.763326697633267
373,2012-01-08,1,1,1,0,0,0,Clear,0.3375,0.340258,0.465,0.191542,599,2826,3425,0.17489051094890512,0.8251094890510949
374,2012-01-09,1,1,1,0,1,1,Cloudy,0.224167,0.247479,0.701667,0.0989,106,2270,2376,0.04461279461279461,0.9553872053872053
375,2012-01-10,1,1,1,0,2,1,Clear,0.308696,0.318826,0.646522,0.187552,173,3425,3598,0.048082267926625906,0.951917732073374
376,2012-01-11,1,1,1,0,3,1,Cloudy,0.274167,0.282821,0.8475,0.131221,92,2085,2177,0.042259990813045475,0.9577400091869546
377,2012-01-12,1,1,1,0,4,1,Cloudy,0.3825,0.381938,0.802917,0.180967,269,3828,4097,0.06565779838906517,0.9343422016109348
378,2012-01-13,1,1,1,0,5,1,Clear,0.274167,0.249362,0.5075,0.378108,174,3040,3214,0.054138145612943375,0.9458618543870566
379,2012-01-14,1,1,1,0,6,0,Clear,0.18,0.183087,0.4575,0.187183,333,2160,2493,0.13357400722021662,0.8664259927797834
380,2012-01-15,1,1,1,0,0,0,Clear,0.166667,0.161625,0.419167,0.251258,284,2027,2311,0.12289052358286456,0.8771094764171354
381,2012-01-16,1,1,1,1,1,0,Clear,0.19,0.190663,0.5225,0.231358,217,2081,2298,0.09442993907745866,0.9055700609225413
382,2012-01-17,1,1,1,0,2,1,Cloudy,0.373043,0.364278,0.716087,0.34913,127,2808,2935,0.043270868824531517,0.9567291311754685
383,2012-01-18,1,1,1,0,3,1,Clear,0.303333,0.275254,0.443333,0.415429,109,3267,3376,0.032286729857819906,0.9677132701421801
384,2012-01-19,1,1,1,0,4,1,Clear,0.19,0.190038,0.4975,0.220158,130,3162,3292,0.03948967193195626,0.9605103280680437
385,2012-01-20,1,1,1,0,5,1,Cloudy,0.2175,0.220958,0.45,0.20275,115,3048,3163,0.03635788808093582,0.9636421119190641
386,2012-01-21,1,1,1,0,6,0,Cloudy,0.173333,0.174875,0.83125,0.222642,67,1234,1301,0.05149884704073789,0.9485011529592621
387,2012-01-22,1,1,1,0,0,0,Cloudy,0.1625,0.16225,0.79625,0.199638,196,1781,1977,0.09914011127971674,0.9008598887202832
388,2012-01-23,1,1,1,0,1,1,Cloudy,0.218333,0.243058,0.91125,0.110708,145,2287,2432,0.05962171052631579,0.9403782894736842
